name,mainInfo,rightAscension,declination,distance,visualBrightness,apparentDimension,link
 Messier 32 ,Elliptical Galaxy  M32 (NGC 221),00 : 42.7 (h:m),+40 : 52 (deg:m),2900 (kly),8.1 (mag) ,8x6 (arc min),http://www.messier.seds.org/m/m032.html
 Messier 33 ,Spiral Galaxy  M33 (NGC 598),01 : 33.9 (h:m),+30 : 39 (deg:m),3000 (kly),5.7 (mag) ,73x45 (arc min),http://www.messier.seds.org/m/m033.html
 Messier 34 ,Open Cluster  M34 (NGC 1039),02 : 42.0 (h:m),+42 : 47 (deg:m),1.4 (kly),5.5 (mag) ,35.0 (arc min),http://www.messier.seds.org/m/m034.html
 Messier 35 ,Open Cluster  M35 (NGC 2168),06 : 08.9 (h:m),+24 : 20 (deg:m),2.8 (kly),5.3 (mag) ,28.0 (arc min),http://www.messier.seds.org/m/m035.html
 Messier 36 ,Open Cluster  M36 (NGC 1960),05 : 36.1 (h:m),+34 : 08 (deg:m),4.1 (kly),6.3 (mag) ,12.0 (arc min),http://www.messier.seds.org/m/m036.html
 Messier 37 ,Open Cluster  M37 (NGC 2099),05 : 52.4 (h:m),+32 : 33 (deg:m),4.4 (kly),6.2 (mag) ,24.0 (arc min),http://www.messier.seds.org/m/m037.html
 Messier 38 ,Open Cluster  M38 (NGC 1912),05 : 28.4 (h:m),+35 : 50 (deg:m),4.2 (kly),7.4 (mag) ,21.0 (arc min),http://www.messier.seds.org/m/m038.html
 Messier 39 ,Open Cluster  M39 (NGC 7092),21 : 32.2 (h:m),+48 : 26 (deg:m),0.825 (kly),4.6 (mag) ,32.0 (arc min),http://www.messier.seds.org/m/m039.html
 Messier 40 ,Double Star  M40 (WNC 4),12 : 22.4 (h:m),+58 : 05 (deg:m),1.14 and 0.45 (kly),8.4 (mag) ,0.8 (arc min),http://www.messier.seds.org/m/m040.html
 Messier 41 ,Open Cluster  M41 (NGC 2287),06 : 46.0 (h:m),-20 : 44 (deg:m),2.3 (kly),4.5 (mag) ,38.0 (arc min),http://www.messier.seds.org/m/m041.html
 Messier 42 ,Starforming Nebula M42 (NGC 1976),05 : 35.4 (h:m),-05 : 27 (deg:m),1.35 (kly),4.0 (mag) ,85x60 (arc min),http://www.messier.seds.org/m/m042.html
 Messier 43 ,Starforming Nebula  M43 (NGC 1982),05 : 35.6 (h:m),-05 : 16 (deg:m),1.35 (kly),9.0 (mag) ,20x15 (arc min),http://www.messier.seds.org/m/m043.html
 Messier 44 ,Open Cluster  M44 (NGC 2632),08 : 40.1 (h:m),+19 : 59 (deg:m),0.577 (kly),3.7 (mag) ,95.0 (arc min),http://www.messier.seds.org/m/m044.html
 Messier 45 ,Open Cluster  M45 ,03 : 47.0 (h:m),+24 : 07 (deg:m),0.44 (kly),1.6 (mag) ,110.0 (arc min),http://www.messier.seds.org/m/m045.html
 Messier 46 ,Open Cluster  M46 (NGC 2437),07 : 41.8 (h:m),-14 : 49 (deg:m),5.4 (kly),6.0 (mag) ,27.0 (arc min),http://www.messier.seds.org/m/m046.html
 Messier 47 ,Open Cluster  M47 (NGC 2422),07 : 36.6 (h:m),-14 : 30 (deg:m),1.6 (kly),5.2 (mag) ,30.0 (arc min),http://www.messier.seds.org/m/m047.html
 Messier 48 ,Open Cluster  M48 (NGC 2548),08 : 13.8 (h:m),-05 : 48 (deg:m),1.5 (kly),5.5 (mag) ,54.0 (arc min),http://www.messier.seds.org/m/m048.html
 Messier 49 ,Elliptical Galaxy  M49 (NGC 4472),12 : 29.8 (h:m),+08 : 00 (deg:m),60000 (kly),8.4 (mag) ,9x7.5 (arc min),http://www.messier.seds.org/m/m049.html
 Messier 50 ,Open Cluster  M50 (NGC 2323),07 : 03.2 (h:m),-08 : 20 (deg:m),3.2 (kly),5.9 (mag) ,16.0 (arc min),http://www.messier.seds.org/m/m050.html
 Messier 51 ,Spiral Galaxy  M51 (NGC 5194),13 : 29.9 (h:m),+47 : 12 (deg:m),37000 (kly),8.4 (mag) ,11x7 (arc min),http://www.messier.seds.org/m/m051.html
